stimulus;picture_number;SOA;target;target_position;set;saliency;response;resp_code;RT
congruent;10;200;N;left;semantic;control;incorrect;1;335,6
happy;30;200;Z;top;emotional;control;correct;11;590,7
disgusting;13;100;Z;right;emotional;salient;correct;11;510
happy;30;100;N;top;emotional;control;correct;12;462,7
disgusting;01;300;N;right;emotional;salient;correct;12;370,2
happy;29;300;Z;top;emotional;control;correct;11;656,5
disgusting;24;200;N;top;emotional;salient;correct;12;489,8
happy;40;300;N;left;emotional;control;correct;12;493,3
happy;29;100;N;left;emotional;control;correct;12;473,5
disgusting;01;100;Z;top;emotional;salient;correct;11;545,1
disgusting;42;200;Z;right;emotional;salient;incorrect;2;411,3
happy;50;200;N;bottom;emotional;control;incorrect;1;472,6
disgusting;02;200;Z;bottom;emotional;salient;correct;11;425,2
disgusting;18;300;Z;right;emotional;salient;correct;11;548,7
happy;26;200;Z;bottom;emotional;control;correct;11;538,6
happy;50;100;N;bottom;emotional;control;correct;12;495,8
happy;21;100;N;right;emotional;control;correct;12;530,5
disgusting;30;200;Z;top;emotional;salient;correct;11;455,8
disgusting;02;100;N;right;emotional;salient;correct;12;495,1
happy;45;300;Z;bottom;emotional;control;correct;11;481
happy;14;200;N;top;emotional;control;correct;12;428,8
happy;05;300;N;top;emotional;control;correct;12;406,3
disgusting;46;300;N;left;emotional;salient;incorrect;1;429,3
disgusting;22;300;Z;bottom;emotional;salient;correct;11;498,7
happy;16;200;Z;left;emotional;control;correct;11;561,8
disgusting;16;100;N;bottom;emotional;salient;correct;12;540,5
disgusting;12;200;N;bottom;emotional;salient;correct;12;487,6
disgusting;07;300;N;top;emotional;salient;correct;12;443,5
happy;33;200;Z;right;emotional;control;correct;11;496
disgusting;38;100;Z;bottom;emotional;salient;correct;11;564,3
happy;01;300;N;bottom;emotional;control;correct;12;448
